2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;40;5
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;80;9
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;120;12
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;160;15
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;200;17
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;240;23
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;280;228
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;320;217
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;360;221
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;400;220
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;500;225
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;600;266
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;700;252
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;800;913
2 core 4GB RAM;Non-SSL;Not optimized nginx;test1.txt;10000;900;938
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;40;55
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;80;104
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;120;393
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;160;349
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;200;1149
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;240;1154
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;280;1559
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;320;1359
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;360;1167
2 core 4GB RAM;SSL;Not optimized nginx;test1.txt;10000;400;2796
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;40;3
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;80;9
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;120;13
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;160;18
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;200;14
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;240;21
2 core 4GB RAM;Non-SSL;Optimized Nginx;test1.txt;10000;280;28
